,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted,confidence
26,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722065.1038208, 0.0]","[1.0, 0.0]",1.0,0.0,2.966665267944336,1624722068.8193018,1,-1,0,1,0.8181818181818182,1.0,11,9,0,"[0, 0]"
27,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722069.1870704, 0.0]","[1.0, 0.0]",1.0,0.0,3.4666707515716553,1624722073.4692092,1,-1,0,1,1.0,1.0,13,13,0,"[0, 0]"
28,"[1.0, -1.0]",1.0,-1.0,1.0,"[-1624722076.136939, 0.0]","[1.0, 0.0]",1.0,0.0,1.600024938583374,1624722078.435796,1,-1,0,1,0.75,1.0,4,3,0,"[0, 0]"
29,"[1.0, -1.0]",1.0,-1.0,-1.0,"[-1624722076.9369822, 0.0]","[0.0, 1.0]",0.0,1.0,3.883232831954956,1624722081.502437,1,-1,0,1,0.5333333333333333,0.0,15,8,0,"[0, 0]"
30,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722082.5371208, 0.0]","[1.0, 1.0]",1.0,1.0,3.8667171001434326,1624722087.085597,1,-1,0,-1,0.6666666666666666,0.0,15,10,0,"[0, 0]"
31,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722089.453698, 0.0]","[1.0, 1.0]",1.0,1.0,2.550020933151245,1624722092.80217,1,-1,0,-1,0.7777777777777778,1.0,9,7,0,"[0, 0]"
32,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722092.519896, 0.0]","[1.0, 1.0]",1.0,1.0,3.583287000656128,1624722096.835416,1,-1,0,-1,0.8571428571428571,1.0,14,12,0,"[0, 0]"
33,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722099.11982, 0.0]","[1.0, 1.0]",1.0,1.0,2.0667929649353027,1624722101.75199,1,-1,0,-1,0.8333333333333334,1.0,6,5,0,"[0, 0]"
34,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722101.603277, 0.0]","[1.0, 1.0]",1.0,1.0,3.1667799949645996,1624722108.285207,1,-1,0,-1,0.75,1.0,12,9,0,"[0, 0]"
35,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722110.585539, 0.0]","[1.0, 1.0]",1.0,1.0,1.7833197116851807,1624722113.1351511,1,-1,0,-1,0.8,1.0,5,4,0,"[0, 0]"
36,"[-1.0, -1.0]",-1.0,-1.0,-1.0,"[-1624722112.0868018, 0.0]","[1.0, 1.0]",1.0,1.0,3.8666250705718994,1624722116.6350179,1,-1,0,-1,0.8666666666666667,0.0,15,13,0,"[0, 0]"
