,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Corrects,Pos_in_block,trial_idx,date,subject
0,1R,Low,6.0,6.0,0.0,0.0,self,1.0,0.0,1.0,2021_06_23,AP
1,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,3.0,2021_06_23,AP
2,1R,Low,8.0,8.0,0.0,0.0,self,1.0,3.0,4.0,2021_06_23,AP
3,1R,Low,7.0,7.0,0.0,0.0,self,1.0,4.0,5.0,2021_06_23,AP
4,1R,Low,6.0,6.0,0.0,0.0,self,1.0,6.0,7.0,2021_06_23,AP
5,1R,Low,1.0,1.0,0.0,0.0,self,1.0,7.0,8.0,2021_06_23,AP
6,1R,Low,6.0,6.0,0.0,0.0,self,1.0,8.0,9.0,2021_06_23,AP
7,1R,Low,6.0,6.0,0.0,0.0,self,1.0,9.0,10.0,2021_06_23,AP
8,1R,Low,4.0,4.0,0.0,1.0,self,0.0,10.0,11.0,2021_06_23,AP
9,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,14.0,2021_06_23,AP
10,1R,Low,4.0,4.0,0.0,0.0,self,1.0,1.0,15.0,2021_06_23,AP
11,1R,Low,1.0,1.0,0.0,0.0,self,1.0,2.0,16.0,2021_06_23,AP
12,1R,Low,3.0,3.0,0.0,0.0,self,1.0,3.0,17.0,2021_06_23,AP
13,1R,Low,3.0,3.0,0.0,0.0,self,1.0,4.0,18.0,2021_06_23,AP
14,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,19.0,2021_06_23,AP
15,1R,Med,9.0,9.0,0.0,0.0,self,1.0,0.0,27.0,2021_06_23,AP
16,1R,Med,9.0,9.0,0.0,0.0,self,1.0,3.0,30.0,2021_06_23,AP
17,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,31.0,2021_06_23,AP
18,1R,High,12.0,12.0,0.0,0.0,self,1.0,5.0,32.0,2021_06_23,AP
19,1R,Low,5.0,5.0,0.0,0.0,self,1.0,6.0,33.0,2021_06_23,AP
20,1R,Med,9.0,9.0,0.0,0.0,self,1.0,7.0,34.0,2021_06_23,AP
21,1R,Low,4.0,4.0,0.0,0.0,self,1.0,8.0,35.0,2021_06_23,AP
22,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,40.0,2021_06_23,AP
23,1R,Low,6.0,6.0,0.0,0.0,self,1.0,1.0,41.0,2021_06_23,AP
24,1R,Low,2.0,2.0,0.0,0.0,self,1.0,2.0,42.0,2021_06_23,AP
25,1R,Low,1.0,1.0,0.0,0.0,self,1.0,4.0,44.0,2021_06_23,AP
26,1R,Low,2.0,2.0,0.0,0.0,self,1.0,5.0,45.0,2021_06_23,AP
27,1R,Low,1.0,1.0,0.0,0.0,self,1.0,6.0,46.0,2021_06_23,AP
28,1R,Low,3.0,3.0,0.0,0.0,self,1.0,0.0,51.0,2021_06_23,AP
29,1R,Low,7.0,7.0,0.0,0.0,self,1.0,2.0,53.0,2021_06_23,AP
30,1R,Low,2.0,2.0,0.0,0.0,self,1.0,3.0,54.0,2021_06_23,AP
31,1R,Med,9.0,9.0,0.0,0.0,self,1.0,4.0,55.0,2021_06_23,AP
32,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,56.0,2021_06_23,AP
33,1R,Low,2.0,2.0,0.0,0.0,self,1.0,6.0,57.0,2021_06_23,AP
34,1R,Low,5.0,5.0,0.0,0.0,self,1.0,7.0,58.0,2021_06_23,AP
35,1R,Low,2.0,2.0,0.0,0.0,self,1.0,9.0,60.0,2021_06_23,AP
36,1R,Low,5.0,5.0,0.0,0.0,self,1.0,10.0,61.0,2021_06_23,AP
37,1R,Low,6.0,6.0,0.0,0.0,self,1.0,11.0,62.0,2021_06_23,AP
38,1R,Low,1.0,1.0,0.0,0.0,self,1.0,0.0,68.0,2021_06_23,AP
39,1R,Low,3.0,3.0,0.0,0.0,self,1.0,5.0,73.0,2021_06_23,AP
40,1R,Low,3.0,3.0,0.0,0.0,self,1.0,6.0,74.0,2021_06_23,AP
41,1R,Low,2.0,2.0,0.0,0.0,self,1.0,7.0,75.0,2021_06_23,AP
