,Unnamed: 0,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,history,pos_in_block,switched
0,0,0,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1659465037.920662,137,7.598600149154663,1,0,-1,0,0.0,0.4,[1.483166217803955],0.0,7.598600149154663,15,6,0,7.71607518196106,,,
1,1,1,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1659465047.4032252,182,8.331398963928223,1,0,-1,0,0.0,0.5333333333333333,[2.23175311088562],0.0,8.331398963928223,15,8,0,8.44798493385315,,,
2,2,2,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1659465093.21747,2358,44.64643979072571,1,0,-1,0,0.0,0.4,[38.547223806381226],0.0,44.64643979072571,15,6,0,44.763227701187134,,,
3,3,3,[1.0],1.0,0,1.0,1.0,0,[1.0],1659465103.350059,125,3.5313868522644043,1,0,1,0,0.15,0.75,[1.282080888748169],1.0,3.5313868522644043,4,3,0,3.6486756801605225,1R,0.0,1.0
4,4,4,[1.0],1.0,0,1.0,1.0,0,[1.0],1659465108.0326211,138,7.599339008331299,1,0,1,0,0.15,0.1333333333333333,[1.4988839626312256],0.0,7.599339008331299,15,2,0,7.714938879013061,1NR,1.0,1.0
5,5,5,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1659465123.014751,513,13.864437818527222,1,0,-1,0,0.0,0.2666666666666666,[7.748243093490601],0.0,13.864437818527222,15,4,0,13.981199979782104,,,
6,6,6,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1659465160.878891,1868,36.447396755218506,1,0,-1,0,0.0,0.4666666666666667,[30.347542762756348],0.0,36.447396755218506,15,7,0,36.56434893608093,,,
7,7,7,[1.0],1.0,0,1.0,1.0,0,[1.0],1659465170.545113,118,2.415372848510742,1,0,1,0,0.15,1.0,[1.1657459735870361],1.0,2.415372848510742,1,1,0,2.532719850540161,1R,4.0,1.0
8,8,8,[1.0],1.0,0,1.0,1.0,0,[1.0],1659465173.811618,116,6.699495792388916,1,0,1,0,0.15,0.6428571428571429,[1.1331708431243896],1.0,6.699495792388916,14,9,0,6.817516088485718,1R,5.0,1.0
9,9,9,[1.0],1.0,0,1.0,1.0,0,[1.0],1659465181.8276072,132,2.967282056808472,1,0,1,0,0.15,1.0,[1.3994801044464111],1.0,2.967282056808472,2,2,0,3.083462238311768,1R,6.0,1.0
